timestamp,signal_type,price,rsi,ema_20,ema_50,vwap,atr
2025-02-28T09:59:19.527802,BREAKOUT,48263.7,31.61271241771513,48374.75130007673,48567.36904907656,nan,71.53214285714265
2025-02-28T10:00:01.196292,BREAKOUT,48265.5,31.85769948353908,48374.922728648155,48567.43963731185,nan,72.01071428571439
2025-02-28T10:01:00.488661,BREAKOUT,48265.5,31.85769948353908,48374.922728648155,48567.43963731185,nan,72.01071428571439
2025-02-28T10:02:00.815825,BREAKOUT,48317.8,38.726122125199176,48369.4824687769,48557.64984761335,nan,71.40357142857205
2025-02-28T10:03:01.146530,BREAKOUT,48305.65,37.256923135274484,48368.32532591976,48557.173377025116,nan,71.72500000000062
2025-02-28T10:04:00.429976,BREAKOUT,48305.65,37.256923135274484,48368.32532591976,48557.173377025116,nan,71.72500000000062
2025-02-28T10:05:00.698957,BREAKOUT,48342.1,41.76792935390503,48365.827675832166,48548.7391269457,nan,69.36785714285777
2025-02-28T10:06:01.226237,BREAKOUT,48348.3,42.471463364678016,48366.41815202264,48548.9822642006,nan,70.93214285714359
2025-02-28T10:07:00.493525,BREAKOUT,48348.3,42.471463364678016,48366.41815202264,48548.9822642006,nan,70.93214285714359
2025-02-28T10:08:00.754901,BREAKOUT,48394.45,47.5510072360957,48369.08785183001,48542.922175408414,nan,69.32857142857185
2025-02-28T10:09:01.005441,BREAKOUT,48367.3,44.677297464947905,48366.502137544296,48541.85746952606,nan,69.32857142857185
2025-02-28T10:10:01.100739,BREAKOUT,48367.3,44.677297464947905,48366.502137544296,48541.85746952606,nan,69.32857142857185
2025-02-28T10:12:00.499731,BREAKOUT,48414.75,49.84903107280097,48371.097172063884,48536.872862877986,nan,68.56785714285745
2025-02-28T10:13:00.820841,BREAKOUT,48414.75,49.84903107280097,48371.097172063884,48536.872862877986,nan,68.56785714285745
2025-02-28T10:14:01.272637,BREAKOUT,48422.35,50.644873498781784,48375.978393772086,48532.3817702161,nan,64.15000000000042
2025-02-28T10:15:01.581772,BREAKOUT,48432.3,51.649394826643636,48376.926012819706,48532.77196629454,nan,64.2357142857145
2025-02-28T10:16:00.983944,BREAKOUT,48432.3,51.649394826643636,48376.926012819706,48532.77196629454,nan,64.2357142857145
2025-02-28T10:17:01.282163,BREAKOUT,48451.95,53.65548031138291,48384.07115445592,48529.60247742024,nan,61.42142857142868
2025-02-28T10:18:00.685639,BREAKOUT,48411.35,49.37092246717311,48380.204487789255,48528.0103205575,nan,63.27857142857153
2025-02-28T10:19:01.030139,BREAKOUT,48411.35,49.37092246717311,48380.204487789255,48528.0103205575,nan,63.27857142857153
2025-02-28T10:20:01.019722,BREAKOUT,48452.55,53.69692011245658,48387.09453657123,48525.051092300346,nan,62.192857142857456
2025-02-28T10:21:00.735290,BREAKOUT,48432.5,51.688020391892394,48385.18501276171,48524.26481779054,nan,62.192857142857456
2025-02-28T10:22:00.998467,BREAKOUT,48432.5,51.688020391892394,48385.18501276171,48524.26481779054,nan,62.192857142857456
2025-02-28T10:23:00.492301,BREAKOUT,48439.6,52.47435083836649,48390.367392498694,48520.944628857585,nan,60.86428571428561
2025-02-28T10:28:38.514328,BREAKOUT,48461.7,,,,,54.82249426720153,48398.42333244213,48519.173290086546,nan,59.860714285713975
2025-02-28T10:29:00.801048,BREAKOUT,48435.5,,,,,51.4178578583043,48401.95444363812,48515.891984592956,nan,56.6499999999999
2025-02-28T10:30:01.241492,BREAKOUT,48421.95,,,,,49.81780424814746,48400.66396744764,48515.360612043936,nan,56.6499999999999
2025-02-28T10:31:00.580842,BREAKOUT,48421.95,,,,,49.81780424814746,48400.66396744764,48515.360612043936,nan,56.6499999999999
