timestamp,signal_type,price,1min_close,3min_close,rsi,vwap
2025-02-28 10:31:40,BREAKOUT SHORT,22272.1,22275.15,22272.1,35.91712001611154,nan
2025-02-28 10:32:00,BREAKOUT SHORT,22278.4,22278.4,22278.4,38.70222933684402,nan
2025-02-28 10:33:08,BREAKOUT SHORT,22278.4,22278.4,22278.4,38.70222933684402,nan
2025-02-28 10:34:01,BREAKOUT SHORT,22285.6,22274.85,22285.6,41.60280474949814,nan
2025-02-28 10:35:02,BREAKOUT SHORT,22271.25,22271.25,22271.25,37.76700348769884,nan
2025-02-28 10:36:00,BREAKOUT SHORT,22276.7,22276.7,22276.7,39.13747787488059,nan
2025-02-28 10:37:00,BREAKOUT SHORT,22276.7,22281.0,22276.7,39.13747787488059,nan
2025-02-28 10:38:00,BREAKOUT SHORT,22281.6,22281.6,22281.6,41.20331233121923,nan
2025-02-28 10:39:00,BREAKOUT SHORT,22288.7,22288.7,22288.7,43.95950638867038,nan
2025-02-28 10:40:01,BREAKOUT SHORT,22288.7,22286.7,22288.7,43.95950638867038,nan
2025-02-28 10:41:00,BREAKOUT SHORT,22286.2,22286.2,22286.2,43.19174889456874,nan
2025-02-28 10:42:01,BREAKOUT SHORT,22295.95,22295.95,22295.95,46.70672777980195,nan
2025-02-28 10:43:00,BREAKOUT SHORT,22295.95,22283.65,22295.95,46.70672777980195,nan
2025-02-28 10:44:00,BREAKOUT SHORT,22280.75,22280.75,22280.75,42.05224760196325,nan
2025-02-28 10:45:01,BREAKOUT SHORT,22288.65,22288.65,22288.65,44.34925043206035,nan
2025-02-28 10:46:00,BREAKOUT SHORT,22288.65,22289.25,22288.65,44.34925043206035,nan
2025-02-28 10:47:00,BREAKOUT SHORT,22286.95,22286.95,22286.95,43.79487733660256,nan
2025-02-28 10:48:01,BREAKOUT SHORT,22280.8,22280.8,22280.8,41.900104451616826,nan
2025-02-28 10:49:00,BREAKOUT SHORT,22280.8,22269.75,22280.8,41.900104451616826,nan
2025-02-28 10:50:01,BREAKOUT SHORT,22263.25,22263.25,22263.25,36.98286769727648,nan
2025-02-28 10:51:01,BREAKOUT SHORT,22263.45,22263.45,22263.45,37.032394544569044,nan
2025-02-28 10:52:00,BREAKOUT SHORT,22263.45,22262.05,22263.45,37.032394544569044,nan
2025-02-28 10:53:01,BREAKOUT SHORT,22255.95,22255.95,22255.95,35.132352206221555,nan
2025-02-28 10:54:00,BREAKOUT SHORT,22251.55,22251.55,22251.55,34.10575388335997,nan
2025-02-28 10:55:01,BREAKOUT SHORT,22251.55,22250.95,22251.55,34.10575388335997,nan
2025-02-28 10:56:00,BREAKOUT SHORT,22257.75,22257.75,22257.75,36.90358627801067,nan
2025-02-28 10:57:00,BREAKOUT SHORT,22258.0,22258.0,22258.0,37.01142737248178,nan
2025-02-28 10:58:01,BREAKOUT SHORT,22258.0,22256.5,22258.0,37.01142737248178,nan
2025-02-28 10:59:00,BREAKOUT SHORT,22242.55,22242.55,22242.55,33.23134949148928,nan
2025-02-28 11:00:01,BREAKOUT SHORT,22243.45,22243.45,22243.45,33.43024201577391,nan
2025-02-28 11:01:01,BREAKOUT SHORT,22243.45,22242.55,22243.45,33.43024201577391,nan
2025-02-28 11:02:00,BREAKOUT SHORT,22252.3,22252.3,22252.3,37.39799106854483,nan
2025-02-28 11:03:00,BREAKOUT SHORT,22252.95,22252.95,22252.95,37.67084395407174,nan
2025-02-28 11:04:01,BREAKOUT SHORT,22252.95,22252.5,22252.95,37.67084395407174,nan
2025-02-28 11:05:00,BREAKOUT SHORT,22253.85,22253.85,22253.85,38.07331252046781,nan
2025-02-28 11:06:00,BREAKOUT SHORT,22258.65,22258.65,22258.65,40.134952280432465,nan
2025-02-28 11:07:01,BREAKOUT SHORT,22258.65,22254.5,22258.65,40.134952280432465,nan
2025-02-28 11:08:19,BREAKOUT SHORT,22254.35,22254.5,22254.35,38.88601599460121,nan
2025-02-28 11:09:01,BREAKOUT SHORT,22254.85,22254.85,22254.85,39.027232949355046,nan
2025-02-28 11:10:01,BREAKOUT SHORT,22254.85,22259.95,22254.85,39.027232949355046,nan
